"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"BTX","5436","1998-01-02","2019-08-09","35","2010-11-15","2019-08-08"
"BTZ","3178","2006-12-22","2019-08-09","0","NULL","NULL"
"BUD","2545","2009-07-01","2019-08-09","39","2009-11-12","2019-07-25"
"BUFF","704","2015-07-22","2018-06-01","0","NULL","NULL"
"BUI","1939","2011-11-23","2019-08-09","0","NULL","NULL"
"BUR","2035","2010-04-05","2019-06-03","0","NULL","NULL"
"BURG","3214","2006-10-31","2019-08-08","21","2014-05-15","2019-08-14"
"BURL","1474","2013-10-02","2019-08-09","23","2013-12-10","2019-05-30"
"BUSE","5244","1998-10-06","2019-08-08","41","2009-07-21","2019-07-23"
"BV","1496","2012-02-24","2018-02-12","19","2014-03-04","2019-08-07"
"BVN","5436","1998-01-02","2019-08-09","41","2009-07-30","2019-07-26"
"BVNSC","338","2018-02-26","2019-06-28","0","NULL","NULL"
"BVSN","5435","1998-01-02","2019-08-08","38","2009-07-29","2018-11-13"
"BVX","5003","1999-02-22","2019-07-02","0","NULL","NULL"
"BVXV","1069","2015-05-12","2019-08-08","16","2015-06-01","2019-07-16"
"BVXVW","832","2015-05-12","2019-08-06","0","NULL","NULL"
"BW","1035","2015-07-01","2019-08-09","14","2015-08-04","2018-11-08"
"BWA","5436","1998-01-02","2019-08-09","41","2009-07-29","2019-07-25"
"BWAY","81","2019-04-17","2019-08-12","1","2019-05-29","2019-05-29"
"BWB","356","2018-03-14","2019-08-12","2","2019-04-25","2019-07-25"
"BWEN","3868","2004-03-29","2019-08-08","41","2009-08-10","2019-08-02"
"BWFG","2354","2010-04-05","2019-08-08","21","2014-07-31","2019-07-30"
"BWG","1854","2012-03-28","2019-08-09","0","NULL","NULL"
"BWINA","4666","2000-01-03","2018-07-19","0","NULL","NULL"
"BWINB","4666","2000-01-03","2018-07-19","0","NULL","NULL"
"BWLD","3581","2003-11-21","2019-05-31","0","NULL","NULL"
"BWMC","132","2019-01-23","2019-08-13","0","NULL","NULL"
"BWMCU","181","2018-11-16","2019-08-13","0","NULL","NULL"
"BWMCW","64","2019-02-13","2019-08-09","0","NULL","NULL"
"BWP","3192","2005-11-10","2018-07-19","0","NULL","NULL"
"BWXT","2272","2010-08-02","2019-08-09","23","2014-02-26","2019-08-05"
"BX","3055","2007-06-22","2019-08-09","42","2009-05-06","2019-07-18"
"BXC","3689","2004-12-14","2019-08-09","39","2009-05-06","2018-11-08"
"BXE","3453","2005-11-07","2019-07-29","24","2013-03-07","2018-11-01"
"BXG","4680","2001-01-02","2019-08-09","7","2018-03-06","2019-08-06"
"BXMT","5436","1998-01-02","2019-08-09","26","2013-05-06","2019-07-23"
"BXMX","3722","2004-10-27","2019-08-09","0","NULL","NULL"
"BXP","5436","1998-01-02","2019-08-09","41","2009-07-21","2019-07-30"
"BXS","5436","1998-01-02","2019-08-09","41","2009-07-22","2019-07-17"
"BY","531","2017-06-30","2019-08-09","9","2017-07-27","2019-07-25"
"BYBK","4604","2000-01-03","2018-04-20","0","NULL","NULL"
"BYD","5436","1998-01-02","2019-08-09","42","2009-05-06","2019-07-30"
"BYFC","5435","1998-01-02","2019-08-08","35","2009-05-07","2018-11-06"
"BYM","4224","2002-10-29","2019-08-09","0","NULL","NULL"
"BYND","69","2019-05-02","2019-08-08","2","2019-06-06","2019-07-29"
"BYSI","609","2017-03-09","2019-08-08","6","2017-05-22","2019-07-10"
"BZH","5436","1998-01-02","2019-08-09","42","2009-05-08","2019-08-01"
"BZM","4352","2002-04-26","2019-08-09","0","NULL","NULL"
"BZUN","1062","2015-05-21","2019-08-08","17","2015-08-19","2019-08-21"
"C","5436","1998-01-02","2019-08-09","41","2009-07-17","2019-07-15"
"CA","4738","2000-01-03","2018-11-06","0","NULL","NULL"
"CAA","4559","2000-01-03","2018-06-06","0","NULL","NULL"
"CAAP","384","2018-02-01","2019-08-12","2","2019-04-11","2019-05-21"
"CAAS","3987","2003-10-07","2019-08-08","42","2009-05-12","2019-08-08"
"CABO","1035","2015-07-01","2019-08-09","17","2015-08-04","2019-08-07"
"CAC","5435","1998-01-02","2019-08-08","41","2009-07-28","2019-07-30"
"CACC","5435","1998-01-02","2019-08-08","41","2009-08-05","2019-07-30"
"CACG","570","2017-05-04","2019-08-08","1","2015-05-11","2015-05-11"
"CACI","5436","1998-01-02","2019-08-09","41","2009-08-12","2019-08-14"
"CADC","2737","2008-09-11","2019-07-26","37","2009-09-24","2019-01-04"
"CADE","585","2017-04-13","2019-08-09","10","2017-05-08","2019-07-22"
"CAE","5436","1998-01-02","2019-08-09","41","2009-08-12","2019-08-14"
"CAF","3238","2006-09-28","2019-08-09","0","NULL","NULL"
"CAFD","758","2015-06-19","2018-07-18","0","NULL","NULL"
"CAG","5436","1998-01-02","2019-08-09","41","2009-06-25","2019-06-27"
"CAH","5436","1998-01-02","2019-08-09","41","2009-08-18","2019-08-08"
"CAI","1004","2015-08-14","2019-08-09","24","2014-02-10","2019-08-07"
"CAJ","5436","1998-01-02","2019-08-09","40","2009-04-30","2019-07-24"
"CAKE","5435","1998-01-02","2019-08-08","41","2009-07-23","2019-07-31"
"CAL","5436","1998-01-02","2019-08-09","16","2015-08-27","2019-06-03"
"CALA","1221","2014-10-02","2019-08-08","19","2014-11-14","2019-08-08"
"CALD","3617","2003-11-20","2018-04-05","0","NULL","NULL"
"CALI","2711","2008-10-22","2019-08-07","30","2009-11-16","2017-11-14"
"CALL","5253","1998-01-02","2018-11-14","0","NULL","NULL"
"CALM","5435","1998-01-02","2019-08-08","41","2009-07-27","2019-07-22"
"CALX","2362","2010-03-24","2019-08-09","38","2010-05-06","2019-07-23"
"CAMP","5435","1998-01-02","2019-08-08","42","2009-05-12","2019-06-27"
"CAMT","4787","2000-07-28","2019-08-08","42","2009-05-19","2019-08-06"
"CANF","1701","2012-11-06","2019-08-09","19","2014-05-29","2018-11-30"
"CANG","262","2018-07-26","2019-08-09","2","2019-03-27","2019-05-29"
"CAPL","1707","2012-10-25","2019-08-09","20","2014-11-05","2019-08-05"
"CAPR","3144","2007-02-13","2019-08-08","21","2014-05-15","2019-08-06"
"CAR","5435","1998-01-02","2019-08-08","42","2009-05-06","2019-08-05"
"CARA","1390","2014-01-31","2019-08-08","23","2014-03-27","2019-08-07"
"CARB","2011","2011-08-11","2019-08-08","32","2011-11-09","2019-07-25"
"CARE","3121","2007-03-15","2019-08-06","2","2019-04-25","2019-07-25"
"CARG","458","2017-10-12","2019-08-08","8","2017-11-14","2019-08-06"
"CARO","1459","2013-10-22","2019-08-08","21","2014-07-18","2019-07-25"
"CARS","552","2017-06-01","2019-08-09","9","2017-08-09","2019-08-05"
"CART","3683","2004-12-21","2019-08-08","39","2009-08-03","2019-01-29"
"CARV","5435","1998-01-02","2019-08-08","38","2009-05-29","2018-11-13"
"CARZ","2076","2011-05-10","2019-08-08","0","NULL","NULL"
"CASA","1284","2010-11-16","2019-08-08","7","2018-03-06","2019-07-31"
"CASC","4577","2000-01-03","2018-05-31","0","NULL","NULL"
"CASH","5435","1998-01-02","2019-08-08","42","2009-05-14","2019-07-30"
"CASI","5435","1998-01-02","2019-08-08","21","2014-08-14","2019-08-09"
"CASM","4862","1999-12-22","2019-06-28","39","2009-05-06","2018-10-31"
"CASS","5435","1998-01-02","2019-08-08","39","2009-07-23","2019-01-31"
"CASY","5435","1998-01-02","2019-08-08","41","2009-06-15","2019-06-10"
"CAT","5436","1998-01-02","2019-08-09","41","2009-07-21","2019-07-24"
"CATB","1038","2015-06-25","2019-08-08","17","2015-08-13","2019-08-08"
"CATC","4931","2000-01-03","2019-08-08","39","2009-10-20","2019-07-16"
"CATH","833","2016-04-19","2019-08-08","0","NULL","NULL"
"CATM","2933","2007-12-13","2019-08-08","41","2009-08-05","2019-08-01"
"CATO","5436","1998-01-02","2019-08-09","37","2009-11-19","2018-11-20"
"CATS","3174","2006-12-28","2019-08-08","34","2011-05-16","2019-08-14"
"CATY","5435","1998-01-02","2019-08-08","41","2009-08-07","2019-07-17"
"CATYW","767","2014-10-10","2018-07-19","0","NULL","NULL"
"CAVM","2818","2007-05-02","2018-07-18","0","NULL","NULL"
"CAW","5356","1998-01-02","2019-07-02","37","2009-07-13","2018-10-22"
"CB","5437","1998-01-02","2019-08-12","41","2009-07-27","2019-07-23"
"CBA","1364","2013-06-26","2019-04-12","0","NULL","NULL"
"CBAK","3982","2002-09-25","2018-07-19","0","NULL","NULL"
"CBAN","5374","1998-04-02","2019-08-09","39","2009-07-24","2019-01-17"
"CBAT","4249","2002-09-25","2019-08-12","13","2014-05-20","2017-11-20"
"CBAY","1389","2014-02-03","2019-08-08","20","2014-11-12","2019-08-07"
"CBB","5437","1998-01-02","2019-08-12","42","2009-05-05","2019-08-08"
"CBD","5437","1998-01-02","2019-08-12","39","2009-05-12","2019-07-24"
"CBFV","4572","2001-06-06","2019-08-08","20","2014-11-06","2019-07-29"
"CBG","3469","2004-06-10","2018-07-19","0","NULL","NULL"
"CBH","534","2017-06-28","2019-08-12","0","NULL","NULL"
"CBI","4621","2000-01-03","2018-07-18","0","NULL","NULL"
"CBIO","3354","2006-04-12","2019-08-08","20","2014-02-13","2019-08-01"
"CBK","5428","1998-01-02","2019-08-12","40","2009-06-25","2019-03-13"
"CBL","5437","1998-01-02","2019-08-12","41","2009-08-04","2019-07-31"
"CBLI","3283","2006-07-25","2019-08-08","31","2010-08-16","2018-11-14"
"CBLK","320","2018-05-04","2019-08-12","3","2019-02-20","2019-08-01"
"CBM","5437","1998-01-02","2019-08-12","42","2009-05-05","2019-08-09"
"CBMB","218","2018-09-28","2019-08-12","0","NULL","NULL"
"CBMG","3070","2007-05-31","2019-08-08","21","2014-08-14","2019-08-06"
"CBNK","430","2016-01-04","2019-08-12","13","2014-01-27","2019-07-24"
"CBO","1628","2013-02-04","2019-08-09","0","NULL","NULL"
"CBOE","2304","2010-06-15","2019-08-08","37","2010-08-05","2019-08-02"
"CBPO","2903","2008-01-29","2019-08-08","42","2009-08-17","2019-08-05"
"CBPX","1389","2014-02-05","2019-08-12","23","2014-03-27","2019-08-01"
"CBRE","353","2018-03-19","2019-08-12","19","2014-02-05","2019-08-01"
"CBRL","5435","1998-01-02","2019-08-08","41","2009-05-27","2019-06-04"
"CBS","3444","2005-12-05","2019-08-12","42","2009-05-07","2019-08-08"
"CBSH","5435","1998-01-02","2019-08-08","41","2009-07-16","2019-07-16"
"CBSHP","1297","2014-06-16","2019-08-08","0","NULL","NULL"
"CBT","5437","1998-01-02","2019-08-12","41","2009-07-29","2019-08-05"
"CBTX","439","2017-11-08","2019-08-08","8","2017-12-14","2019-07-25"
"CBU","5437","1998-01-02","2019-08-12","41","2009-07-22","2019-07-22"
"CBX","2065","2011-05-09","2019-08-12","0","NULL","NULL"
"CBZ","5437","1998-01-02","2019-08-12","40","2009-07-29","2019-07-31"
"CC","1036","2015-07-01","2019-08-12","17","2015-08-06","2019-08-01"
"CCA","4977","1999-10-28","2019-08-09","0","NULL","NULL"
"CCB","269","2018-07-18","2019-08-12","2","2019-04-26","2019-07-26"
"CCBG","5435","1998-01-02","2019-08-08","41","2009-07-21","2019-07-23"
"CCC","4575","2000-01-03","2018-03-09","16","2014-02-19","2017-11-06"
"CCCL","2931","2007-12-17","2019-08-08","25","2010-11-08","2017-05-15"
"CCCR","1243","2013-08-13","2019-06-03","0","NULL","NULL"
"CCD","1100","2015-03-27","2019-08-08","0","NULL","NULL"
"CCE","5427","1998-01-02","2019-07-29","0","NULL","NULL"
"CCEP","5437","1998-01-02","2019-08-12","18","2014-02-05","2019-04-30"
"CCF","5436","1998-01-02","2019-08-09","39","2009-07-09","2019-01-03"
"CCH","175","2018-11-26","2019-08-12","2","2014-02-14","2014-05-16"
"CCI","5280","1998-08-18","2019-08-12","41","2009-07-29","2019-07-17"
"CCIH","2227","2010-10-01","2019-08-07","26","2010-11-04","2017-03-27"
"CCJ","5437","1998-01-02","2019-08-12","42","2009-05-01","2019-07-25"
"CCK","5437","1998-01-02","2019-08-12","41","2009-07-15","2019-07-17"
"CCL","5437","1998-01-02","2019-08-12","41","2009-06-18","2019-06-20"
"CCLP","2051","2011-06-15","2019-08-08","19","2015-02-26","2019-08-08"
"CCM","2432","2009-12-11","2019-08-12","25","2010-08-18","2016-08-24"
"CCMP","4866","2000-04-05","2019-08-08","41","2009-07-23","2019-08-07"
"CCNE","5435","1998-01-02","2019-08-08","41","2009-07-29","2019-07-19"
"CCNI","4322","2002-06-06","2019-08-12","16","2014-03-20","2017-11-13"
"CCO","3458","2005-11-14","2019-08-12","43","2009-05-11","2019-08-01"
"CCOI","4408","2002-02-05","2019-08-08","42","2009-05-08","2019-08-08"
"CCR","427","2017-11-29","2019-08-12","16","2015-10-26","2019-08-06"
"CCRC","914","2015-12-21","2019-08-08","0","NULL","NULL"
"CCRN","4477","2001-10-25","2019-08-08","42","2009-05-06","2019-07-31"
"CCS","1297","2014-06-18","2019-08-12","22","2014-08-07","2019-07-30"
"CCT","925","2011-06-28","2019-04-12","0","NULL","NULL"
"CCU","5437","1998-01-02","2019-08-12","35","2009-11-26","2019-08-12"
"CCUR","5435","1998-01-02","2019-08-08","36","2009-08-26","2018-11-09"
"CCXI","1887","2012-02-08","2019-08-08","29","2012-08-10","2019-08-05"
"CCZ","4950","1999-11-24","2019-08-06","0","NULL","NULL"
"CDAY","326","2018-04-26","2019-08-12","3","2019-02-06","2019-07-30"
"CDC","1285","2014-07-02","2019-08-08","0","NULL","NULL"
"CDE","5437","1998-01-02","2019-08-12","41","2009-05-11","2019-08-07"
"CDEV","835","2016-04-15","2019-08-08","13","2016-05-04","2019-08-05"
"CDK","1227","2014-09-24","2019-08-08","20","2014-11-13","2019-08-13"
"CDL","1030","2015-07-08","2019-08-08","0","NULL","NULL"
"CDLX","378","2018-02-09","2019-08-12","3","2019-03-05","2019-08-08"
"CDMO","399","2018-01-08","2019-08-08","6","2018-03-12","2019-06-27"
"CDMOP","399","2018-01-08","2019-08-08","0","NULL","NULL"
"CDNA","1275","2014-07-17","2019-08-08","21","2014-08-27","2019-08-01"
"CDNS","5435","1998-01-02","2019-08-08","41","2009-07-29","2019-07-22"
"CDOR","4679","2001-01-02","2019-08-08","22","2014-03-17","2019-08-12"
"CDR","5437","1998-01-02","2019-08-12","42","2009-05-05","2019-08-01"
"CDTI","5435","1998-01-02","2019-08-08","39","2009-05-12","2018-11-14"
"CDTX","1088","2015-04-15","2019-08-08","19","2015-05-21","2019-08-08"
"CDW","1540","2013-06-27","2019-08-08","25","2013-08-02","2019-07-31"
"CDXC","2787","2008-07-15","2019-08-08","39","2009-11-17","2019-08-07"
"CDXS","2341","2010-04-22","2019-08-08","38","2010-05-26","2019-08-06"
"CDZI","5435","1998-01-02","2019-08-08","33","2009-08-10","2018-11-08"
"CE","3664","2005-01-21","2019-08-12","41","2009-07-28","2019-07-22"
"CEA","5436","1998-01-02","2019-08-09","31","2010-04-20","2018-10-26"
"CECE","5435","1998-01-02","2019-08-08","42","2009-05-07","2019-08-06"
"CECO","5417","1998-01-29","2019-08-08","42","2009-05-06","2019-08-07"
"CEE","5437","1998-01-02","2019-08-12","0","NULL","NULL"
"CEI","3175","2006-12-28","2019-08-09","19","2014-02-18","2018-11-16"
"CEIX","429","2017-11-14","2019-08-12","7","2018-05-03","2019-08-06"
"CEL","3150","2007-02-07","2019-08-12","39","2009-05-26","2018-11-22"
"CELC","475","2017-09-19","2019-08-08","8","2017-11-13","2019-08-08"
"CELG","5435","1998-01-02","2019-08-08","41","2009-07-23","2019-07-30"
"CELGZ","2225","2010-10-06","2019-08-08","0","NULL","NULL"
"CELH","3160","2007-01-22","2019-08-08","33","2010-03-04","2019-08-08"
"CELP","1403","2014-01-15","2019-08-12","20","2014-05-14","2019-03-18"
"CEM","2298","2010-06-25","2019-08-12","0","NULL","NULL"
"CEMI","3842","2004-05-05","2019-08-08","42","2009-05-08","2019-08-06"
"CEN","1479","2013-09-26","2019-08-12","0","NULL","NULL"
"CENT","5435","1998-01-02","2019-08-08","42","2009-05-06","2019-08-01"
"CENTA","3149","2007-02-06","2019-08-08","38","2009-08-05","2019-02-06"
"CENX","5436","1998-01-02","2019-08-09","41","2009-07-23","2019-08-01"
"CEO","4643","2001-02-27","2019-08-12","0","NULL","NULL"
"CEPU","383","2018-02-02","2019-08-12","2","2019-03-14","2019-08-12"
"CEQP","4539","2001-07-26","2019-08-12","24","2013-11-07","2019-07-30"
"CERC","939","2015-11-13","2019-08-08","14","2016-03-23","2019-08-08"
"CERCW","639","2015-11-16","2018-08-13","0","NULL","NULL"
"CERN","5435","1998-01-02","2019-08-08","41","2009-07-29","2019-07-24"
"CERS","5435","1998-01-02","2019-08-08","41","2009-07-30","2019-08-01"
"CET","5436","1998-01-02","2019-08-09","2","2015-08-03","2016-08-04"
"CETV","5435","1998-01-02","2019-08-08","39","2009-07-29","2019-02-06"
"CETX","1038","2015-06-25","2019-08-08","21","2014-02-19","2019-05-20"
"CETXP","621","2017-02-17","2019-08-08","0","NULL","NULL"
"CETXW","374","2017-02-17","2019-08-08","0","NULL","NULL"
"CEV","5168","1999-01-27","2019-08-09","0","NULL","NULL"
"CEVA","4220","2002-11-01","2019-08-08","42","2009-05-05","2019-08-08"
"CEY","448","2017-10-26","2019-08-08","0","NULL","NULL"
"CEZ","851","2016-03-23","2019-08-08","0","NULL","NULL"
"CF","3524","2005-08-11","2019-08-12","41","2009-07-27","2019-07-31"
"CFA","1285","2014-07-02","2019-08-08","0","NULL","NULL"
"CFBI","574","2017-04-28","2019-08-08","2","2017-12-26","2018-08-09"
"CFBK","5185","1998-12-30","2019-08-08","35","2009-07-17","2018-11-02"
"CFFA","130","2019-02-05","2019-08-12","0","NULL","NULL"
"CFFAU","163","2018-12-13","2019-08-09","0","NULL","NULL"
"CFFAW","122","2019-01-31","2019-08-09","0","NULL","NULL"
"CFFI","5349","1998-05-07","2019-08-08","39","2009-07-29","2019-01-24"
"CFFN","5122","1999-04-01","2019-08-08","42","2009-05-05","2019-07-30"
"CFG","1229","2014-09-24","2019-08-12","20","2014-10-27","2019-07-19"
"CFMS","1034","2015-07-01","2019-08-08","17","2015-08-11","2019-07-31"
"CFO","1285","2014-07-02","2019-08-08","0","NULL","NULL"
"CFR","5437","1998-01-02","2019-08-12","41","2009-07-22","2019-07-25"
"CFRX","1235","2014-09-12","2019-08-08","20","2014-11-14","2019-08-09"
"CFX","2835","2008-05-08","2019-08-12","42","2009-05-08","2019-08-06"
"CFXA","149","2019-01-09","2019-08-12","0","NULL","NULL"
"CG","1828","2012-05-03","2019-08-08","30","2012-05-15","2019-07-31"
"CGA","2851","2008-04-16","2019-08-12","38","2009-05-11","2018-11-14"
"CGBD","542","2017-06-14","2019-08-08","9","2017-08-08","2019-08-06"
"CGC","1347","2014-04-07","2019-08-12","3","2019-02-14","2019-08-14"
"CGEN","4777","2000-08-11","2019-08-08","42","2009-05-12","2019-08-05"
"CGG","5224","1998-01-02","2019-04-12","0","NULL","NULL"
"CGI","5099","1998-01-02","2019-01-31","0","NULL","NULL"
"CGIX","1598","2013-04-05","2019-08-08","21","2013-11-13","2018-11-19"
"CGNT","4606","2000-01-03","2018-06-01","0","NULL","NULL"
"CGNX","5435","1998-01-02","2019-08-08","42","2009-05-04","2019-07-29"
"CGO","3468","2005-10-27","2019-08-08","0","NULL","NULL"
"CGVIC","90","2019-01-02","2019-05-10","0","NULL","NULL"
"CH","4613","2000-01-03","2018-07-13","0","NULL","NULL"
"CHA","4213","2002-11-14","2019-08-12","0","NULL","NULL"
"CHAC","102","2019-03-13","2019-08-06","0","NULL","NULL"
"CHAP","562","2017-05-19","2019-08-13","7","2019-02-12","2019-08-08"
"CHCI","3688","2004-12-14","2019-08-08","39","2009-05-13","2018-11-09"
"CHCO","5435","1998-01-02","2019-08-08","41","2009-07-27","2019-07-22"
"CHCT","1064","2015-05-21","2019-08-12","17","2015-08-13","2019-08-06"
"CHD","5437","1998-01-02","2019-08-12","42","2009-05-05","2019-07-31"
"CHDN","5435","1998-01-02","2019-08-08","42","2009-05-06","2019-07-31"
"CHE","5437","1998-01-02","2019-08-12","41","2009-07-30","2019-07-25"
"CHEF","2022","2011-07-28","2019-08-09","33","2011-08-25","2019-07-31"
"CHEK","1117","2015-03-04","2019-08-08","18","2015-06-04","2019-08-07"
"CHEKW","873","2015-03-20","2019-08-07","0","NULL","NULL"
"CHEKZ","179","2018-05-04","2019-07-30","0","NULL","NULL"
"CHFC","5434","1998-01-02","2019-08-07","41","2009-07-27","2019-07-24"
"CHFN","4054","2002-08-02","2019-05-15","0","NULL","NULL"
"CHFS","1881","2012-02-16","2019-08-08","23","2014-03-11","2019-08-06"
"CHGG","1445","2013-11-13","2019-08-12","23","2014-02-13","2019-07-29"
"CHH","5437","1998-01-02","2019-08-12","41","2009-07-29","2019-08-06"
"CHI","4309","2002-06-27","2019-08-08","0","NULL","NULL"
"CHIC","2405","2010-01-22","2019-08-12","0","NULL","NULL"
"CHK","5437","1998-01-02","2019-08-12","42","2009-05-04","2019-08-06"
"CHKE","5426","1998-01-02","2019-07-26","40","2009-06-10","2019-04-23"
"CHKP","5435","1998-01-02","2019-08-08","41","2009-07-28","2019-07-24"
"CHKR","1948","2011-11-11","2019-08-12","26","2012-05-15","2018-11-02"
"CHL","5437","1998-01-02","2019-08-12","0","NULL","NULL"
"CHMA","1024","2015-07-16","2019-08-08","16","2015-11-12","2019-08-08"
"CHMG","5183","1999-01-04","2019-08-08","27","2013-01-30","2019-07-22"
"CHMI","1473","2013-10-04","2019-08-12","23","2014-03-25","2019-08-08"
"CHN","5437","1998-01-02","2019-08-12","0","NULL","NULL"
"CHNA","307","2016-01-04","2019-08-12","0","NULL","NULL"
"CHNR","5435","1998-01-02","2019-08-08","3","2014-12-04","2017-12-15"
"CHRA","292","2018-06-14","2019-08-12","5","2019-02-12","2019-08-14"
"CHRS","1196","2014-11-06","2019-08-08","20","2014-12-15","2019-08-01"
"CHRW","5435","1998-01-02","2019-08-08","41","2009-07-21","2019-07-30"
"CHS","5437","1998-01-02","2019-08-12","41","2009-05-27","2019-06-11"
"CHSCL","1149","2015-01-15","2019-08-08","0","NULL","NULL"
"CHSCM","1233","2014-09-16","2019-08-08","0","NULL","NULL"
"CHSCN","1367","2014-03-06","2019-08-08","0","NULL","NULL"
"CHSCO","1480","2013-09-23","2019-08-08","0","NULL","NULL"
"CHSCP","4124","2003-03-24","2019-08-08","0","NULL","NULL"
"CHSP","2403","2010-01-26","2019-08-12","39","2010-05-05","2019-08-01"
"CHT","3987","2003-10-09","2019-08-12","39","2009-08-27","2019-01-30"
"CHTR","2415","2010-01-05","2019-08-08","36","2010-11-03","2019-07-26"
"CHU","4815","2000-06-21","2019-08-12","16","2012-04-26","2016-03-16"
"CHUBA","468","2016-07-22","2018-06-07","0","NULL","NULL"
"CHUBK","468","2016-07-22","2018-06-07","0","NULL","NULL"
"CHUY","1772","2012-07-24","2019-08-08","29","2012-08-29","2019-08-08"
"CHW","3031","2007-07-26","2019-08-08","0","NULL","NULL"
"CHY","4078","2003-05-29","2019-08-08","0","NULL","NULL"
"CI","5436","1998-01-02","2019-08-09","41","2009-07-30","2019-08-01"
"CIA","5437","1998-01-02","2019-08-12","35","2009-05-07","2018-11-07"
"CIB","5437","1998-01-02","2019-08-12","41","2009-06-12","2019-05-09"
"CIBR","1032","2015-07-07","2019-08-09","0","NULL","NULL"
"CIC","453","2017-10-06","2019-08-02","0","NULL","NULL"
"CID","999","2015-08-20","2019-08-08","0","NULL","NULL"
"CIDM","3963","2003-11-10","2019-08-08","41","2009-06-11","2019-07-16"
"CIEN","5437","1998-01-02","2019-08-12","41","2009-06-04","2019-06-06"
"CIF","5437","1998-01-02","2019-08-12","0","NULL","NULL"
"CIFS","504","2017-08-08","2019-08-08","2","2017-11-30","2018-05-15"
"CIG","5437","1998-01-02","2019-08-12","18","2009-05-14","2018-09-11"
"CIGI","5435","1998-01-02","2019-08-08","17","2015-08-05","2019-07-30"
"CIH","100","2019-03-14","2019-08-08","0","NULL","NULL"
"CII","3829","2004-05-26","2019-08-12","0","NULL","NULL"
"CIK","5436","1998-01-02","2019-08-09","0","NULL","NULL"
"CIL","999","2015-08-20","2019-08-08","0","NULL","NULL"
"CIM","2953","2007-11-16","2019-08-12","33","2009-05-04","2019-07-31"
"CINF","5435","1998-01-02","2019-08-08","41","2009-07-30","2019-07-30"
"CINR","946","2015-11-06","2019-08-12","22","2014-02-12","2019-05-10"
"CIO","1341","2014-04-15","2019-08-12","21","2014-08-14","2019-08-01"
"CIR","4986","1999-10-18","2019-08-12","42","2009-07-29","2019-08-01"
"CISN","560","2017-05-22","2019-08-12","9","2017-08-09","2019-08-08"
"CIT","2433","2009-12-10","2019-08-12","38","2010-04-27","2019-07-23"
"CIU","2909","2007-01-11","2018-07-31","0","NULL","NULL"
"CIVB","4679","2001-01-02","2019-08-08","17","2015-07-24","2019-07-26"
"CIVBP","1378","2014-02-03","2019-08-07","0","NULL","NULL"
"CIVEC","90","2019-01-02","2019-05-10","0","NULL","NULL"
"CIVI","1142","2014-09-17","2019-06-28","18","2014-12-17","2019-02-04"
"CIX","5393","1998-03-06","2019-08-09","39","2009-05-01","2018-10-31"
"CIZ","1222","2014-10-01","2019-08-08","0","NULL","NULL"
"CIZN","4983","1999-10-19","2019-08-08","39","2009-07-24","2019-01-25"
"CJ","649","2017-01-12","2019-08-12","10","2017-05-09","2019-08-06"
"CJJD","2827","2008-05-16","2019-08-08","35","2010-06-30","2018-11-14"
"CKH","4933","2000-01-03","2019-08-12","42","2009-07-22","2019-07-24"
"CKPT","663","2016-12-19","2019-08-08","8","2017-08-09","2019-08-08"
"CKX","5053","1999-07-13","2019-08-09","30","2011-08-11","2018-11-09"
"CL","5437","1998-01-02","2019-08-12","41","2009-07-30","2019-07-26"
"CLAR","5336","1998-05-27","2019-08-08","23","2014-03-03","2019-08-05"
"CLB","5437","1998-01-02","2019-08-12","41","2009-07-22","2019-07-24"
"CLBK","330","2018-04-20","2019-08-12","3","2019-01-31","2019-07-24"
"CLBS","5145","1999-03-01","2019-08-08","17","2015-08-06","2019-08-08"
"CLCT","4970","1999-11-05","2019-08-08","40","2009-05-11","2019-02-05"
"CLD","2438","2009-11-20","2019-08-12","37","2010-05-12","2019-03-14"
"CLDB","4672","2001-01-02","2019-08-05","0","NULL","NULL"
"CLDC","1207","2014-10-22","2019-08-08","7","2016-08-15","2018-04-30"
"CLDR","576","2017-04-28","2019-08-12","9","2017-06-08","2019-06-05"
"CLDT","2347","2010-04-16","2019-08-12","37","2010-08-10","2019-07-31"
"CLDX","5435","1998-01-02","2019-08-08","41","2009-05-05","2019-08-07"
"CLF","5437","1998-01-02","2019-08-12","41","2009-07-29","2019-07-19"
"CLFD","5435","1998-01-02","2019-08-08","42","2009-05-11","2019-07-25"
"CLGN","385","2018-01-30","2019-08-12","0","NULL","NULL"
"CLGX","5437","1998-01-02","2019-08-12","37","2010-08-05","2019-07-24"
"CLH","5437","1998-01-02","2019-08-12","42","2009-05-06","2019-07-31"
"CLI","5437","1998-01-02","2019-08-12","42","2009-07-30","2019-08-07"
"CLIR","1834","2012-04-25","2019-08-08","27","2012-06-11","2018-11-08"
"CLIRW","359","2017-01-27","2019-02-15","0","NULL","NULL"
"CLLS","1102","2015-03-25","2019-08-08","16","2015-06-09","2019-08-06"
"CLM","4285","2002-08-02","2019-08-09","0","NULL","NULL"
"CLMT","3407","2006-01-26","2019-08-08","42","2009-05-06","2019-08-08"
"CLNC","384","2018-02-01","2019-08-12","3","2019-02-28","2019-08-08"
"CLNE","3073","2007-05-25","2019-08-08","42","2009-05-07","2019-08-08"
